rank,name,score,max_beta_to_spy_126day,min_beta_to_spy_126day,max_cumulative_common_returns,min_cumulative_common_returns,max_cumulative_specific_returns,min_cumulative_specific_returns,max_exposure_basic_materials,min_exposure_basic_materials,max_exposure_communication_services,min_exposure_communication_services,max_exposure_consumer_cyclical,min_exposure_consumer_cyclical,max_exposure_consumer_defensive,min_exposure_consumer_defensive,max_exposure_energy,min_exposure_energy,max_exposure_financial_services,min_exposure_financial_services,max_exposure_health_care,min_exposure_health_care,max_exposure_industrials,min_exposure_industrials,max_exposure_momentum,min_exposure_momentum,max_exposure_real_estate,min_exposure_real_estate,max_exposure_short_term_reversal,min_exposure_short_term_reversal,max_exposure_size,min_exposure_size,max_exposure_technology,min_exposure_technology,max_exposure_utilities,min_exposure_utilities,max_exposure_value,min_exposure_value,max_exposure_volatility,min_exposure_volatility,max_leverage,min_leverage,max_max_drawdown,min_max_drawdown,max_max_position_concentration,min_max_position_concentration,max_net_dollar_exposure,min_net_dollar_exposure,max_sharpe_126day,min_sharpe_126day,max_total_returns,min_total_returns,max_traded_in_qtradable_stocks_us,min_traded_in_qtradable_stocks_us,max_turnover,min_turnover,max_volatility_126day,min_volatility_126day
129,Aquamarine Beetle,0.13292815095568522,0.10137942556263689,-0.17156717656503145,0.029672829458614602,-0.006307010063205665,0.10381488076187884,-0.00022761995428688397,0.09078404217199126,-0.053510146203553155,0.04377417243599068,-0.02973837932242906,0.08020703489480129,-0.11864923424666948,0.05059276593934872,-0.047983078118876574,0.08976898411787038,-0.065032110910763,0.18309951006570463,-0.17621443536750503,0.14231630841163648,-0.08832356612701155,0.14884137670231548,-0.11329388127935079,0.35840632038204384,-0.232259566916646,0.0937881030357723,-0.16084901990824765,0.405969050807796,-0.49612002197367433,0.3801072684203893,-0.3036198236635967,0.09341918507641009,-0.11121270145439699,0.06776212530296163,-0.04784263235393997,0.3263139880990412,-0.34012889439226934,0.37445391828265184,-0.3099895229607875,1.051271980090539,0.0,0.0,-0.03345051350496641,0.024959473733744564,0.0,0.02952264610030678,-0.020420309033017257,3.476815792665608,-0.344937290734886,0.11801551442590608,-0.0022704363683017093,1.0000000000000004,0.9749931854890138,0.9558707740510728,0.0,0.049922454565005034,0.03674954656214759
130,Chocolate Woodpecker,0.13291261106003113,0.10126943704169629,-0.17157938679051365,0.029645797692506637,-0.006348876957897542,0.10758986480028332,-0.001697493161007646,0.0907811447775915,-0.053579631725647864,0.04378522779080885,-0.029764356783682586,0.0802062691810652,-0.1186414431287178,0.05540583070749483,-0.0479848857788879,0.0897694199964717,-0.06478252976198826,0.18334355866699664,-0.1761800333701547,0.14232968643117339,-0.08830653906107064,0.1488404562477421,-0.11320139762339528,0.358147565327015,-0.23267947037428954,0.09382195501429247,-0.16082153807249563,0.4060660864002208,-0.4961420619246344,0.3799885637549629,-0.30364981142123487,0.09346279459233509,-0.11121839449729647,0.06776009302279686,-0.04782157195092244,0.3845607770220737,-0.3380186142802033,0.3744438352054279,-0.3321971813033434,1.0512574855116417,0.0,0.0,-0.033452920129758354,0.02493910807273304,0.0,0.029698692293390824,-0.02130747743876174,3.4778641291277697,-0.3846409505359869,0.12175001635860405,-0.004011976501278269,1.0000000000000004,0.9750638418145403,0.9561903101037713,0.0,0.049923153133402266,0.03674245015368064
131,Bright Red Dove,0.13290006184483624,0.10126901435274234,-0.17157785397633726,0.029645650199871865,-0.006348876957897542,0.10769025585907976,-0.001697493161007646,0.09078114662617298,-0.05354824332634426,0.04378522143579741,-0.029764356783682586,0.08020110880966012,-0.11865311785030257,0.05540583070749483,-0.04798488341222766,0.08977241149216754,-0.06481627783555666,0.18334355866699664,-0.17617565739200627,0.1423306949458219,-0.08830653906107064,0.14882466499984326,-0.11320139762339528,0.3581779999880445,-0.23267947037428954,0.09377977143388153,-0.16082153807249563,0.4043451440462885,-0.4961420619246344,0.3799885714008813,-0.3036462414309943,0.09346279459233509,-0.11120772951958777,0.06777242501044123,-0.04781557358227184,0.3845607770220737,-0.3380186142802033,0.374443842833128,-0.3321971813033434,1.051286884744534,0.0,0.0,-0.033452920799456366,0.02493910807273304,0.0,0.029714286165987806,-0.02130747743876174,3.4778638876241215,-0.3846416881503074,0.121950009498349,-0.004011976501278269,1.0000000000000004,0.9750638418145403,0.9561903101037713,0.0,0.04992026268145878,0.036754998784606224
132,Teal Mouse,0.13239940264803915,0.16711028524699978,-0.1568155763098781,0.06683141990550401,-0.005898672814140138,0.017010207999387905,-0.03317926351023215,0.06481284123427952,-0.02182769958598297,0.023721169202667973,-0.030715768912634334,0.05850529376571925,-0.09926671637408592,0.11545657874296057,-0.1038481323521509,0.09540670195343193,-0.09852280513688533,0.14264122529848414,-0.15288626015984277,0.11445279742044741,-0.11192986257376822,0.1553167357933687,-0.06032689014506282,0.16960391334608751,-0.22834447005240563,0.06775018880772478,-0.07094673102779793,0.5764273854131495,-0.41028161404761215,0.16936028982518792,-0.1875698279550256,0.15702586245235356,-0.03313295864117685,0.12347530965249558,-0.1429961469399222,0.2103626043753361,-0.30589189822671675,0.30170039303155344,-0.1056096884038617,1.0687027202781374,1.0202589928657595,-0.0007262528443457938,-0.02390038634528928,0.02964736690841414,0.006965894613306081,0.03497846836144924,-0.03589207150562569,2.0470277442951437,-1.1117266711166574,0.04366495894098632,-0.0007262528443457983,1.0000000000000016,0.9835351633303647,1.051095489825215,0.06743365197756629,0.03799295438670619,0.02487478786427806
133,Spring Green Ostrich,0.1309071724539439,0.06444009510419475,-0.10587610150688871,0.06788609879175889,-0.00839006062740133,0.02840683351992279,-0.0454527825008757,0.09542704231953597,-0.08540362224118563,0.02774397096940122,-0.039563348731081194,0.09052241883978093,-0.07486872360921629,0.058902351586736526,-0.059718959582785544,0.11419811537937724,-0.14245358574879224,0.11254610734151312,-0.08771269082187413,0.06025658753769438,-0.13110192941580018,0.10444404609778134,-0.06643338284502151,0.3922599898489663,-0.20411559898480983,0.0667196904168077,-0.060099514313956354,0.5435842292411435,-0.0336056873853472,0.3802819687563491,-0.20539870403373264,0.08545983720094386,-0.07821259786156466,0.05269010153558045,-0.05551274428488721,0.34657525914345905,-0.39458915229558,0.17808619772640216,-0.387589650851691,1.026432685865373,0.9043073753342823,-0.0010823022491410939,-0.04774323620247176,0.017306009154257507,0.01249308605245243,0.007996085558833532,-0.013861280294471246,3.135362101809477,-0.09747501355214484,0.09139005203666484,-0.04587532916849102,1.0000000000000009,0.987378252796811,1.1655466799603236,0.0,0.05616285955730514,0.04156995933924198
134,Cyan Zebra,0.13013163017869236,0.05334701434168461,-0.23304526867222897,0.07045351557151402,-0.011838068284900638,0.008291109764504867,-0.07028648292234219,0.10033140200024503,-0.040832401177273575,0.035890977857626495,-0.06183999007162449,0.15727943014390677,-0.09761951898399955,0.13809059829749062,-0.03215590767019824,0.01097146735766448,-0.19347989434002852,0.12462821320035622,-0.04986759206231506,0.11708248977242858,-0.15928885007181065,0.1842676342163113,-0.060370274342492536,0.32319616526805983,-0.2648386033413976,0.033536234620439594,0.0,0.513238160777243,-0.5193396925295818,0.3621127781992074,-0.09266643266026679,0.048270089851582584,-0.18345825181216596,0.057082535867993014,-0.06508439935206253,0.19442818302173068,-0.38217573996010445,0.14063447609099206,-0.38046954458752613,1.036909680129723,0.9609419657391067,-0.0020191487917512064,-0.05357402187392297,0.03384890841958098,0.0294306694116768,0.007997407485991035,-0.03301454631638477,1.9172650667462954,-1.7199548877719442,0.04665995667119893,-0.03192999857067236,1.0000000000000007,0.9709091319859602,1.000530931388874,0.0061347492941043235,0.06803210918557172,0.040866147747408835
135,Bright Yellow Ant,0.12639384914543253,0.2619756668259129,-0.007721380692534218,0.1026607225011964,-0.0015559913129015168,0.017924903675173187,-0.05192222560180815,0.028820825153123668,0.0,0.0,-0.008198656518907964,0.06963763245947338,-0.03478710760105513,0.052611242988470024,-0.08400090355467478,0.028467159758754586,0.0,0.17573066222165634,0.015168670355267144,0.038144961071714154,-0.038082880004682795,0.12989313796352073,0.0035383489125621285,0.09351128738622592,-0.18115608162667754,-0.021122515248076127,-0.1878125862177974,0.6352432603556668,-0.5041197897640831,0.3783456412463086,0.3318679198817602,0.052320056855279386,-0.04621062100993576,0.15237684868803733,-0.039629351202238955,0.07029767658245074,-0.3398707986752955,0.06911868793853856,-0.3516200856373547,1.0555173171449577,0.93817843759569,-0.0006233600904201352,-0.06045875212517005,0.04875032061745935,0.04467360151848939,0.04946848260163621,-0.08170778508796742,3.4156590443875343,-2.559650419853374,0.1066300165950993,-0.010586861682238768,1.0000000000000004,0.9629036703071322,0.9412463757937728,0.0030115714441428017,0.05231129806390169,0.04070099066931001
136,Yellow Dog,0.1256958582904873,0.10000161015830517,-0.08767538093191897,0.02339861707459412,-0.007941784208760239,0.11115374431159553,-0.0015324005245659356,0.1071733212466372,-0.05260314853846261,0.04978094661002926,-0.036809862167751374,0.09748623648728083,-0.13426120578802225,0.06079467007179787,-0.04755055129916713,0.10791596399115506,-0.0697180345256655,0.17700442726683505,-0.17763913567415715,0.12298184065252482,-0.11442916974297088,0.17083690897425435,-0.10208916438776773,0.3379910205070654,-0.22756714142367684,0.07736583106813656,-0.15694105147122,0.46851271020521956,-0.46723007697230057,0.380038595575075,-0.3206601378706121,0.10418515149217462,-0.12414304319052744,0.08490137345548054,-0.036515386467441915,0.38588718369536223,-0.3438867296408578,0.37924598413666616,-0.380173169887561,1.051359026276605,0.0,0.0,-0.037551063949931754,0.029833928613021726,0.0,0.032952076526049714,-0.03207151568423182,3.2971013709105597,-1.4761897515329045,0.11588259740105489,-0.0012730601522703555,1.0000000000000007,0.9702909824003394,0.9569369163321055,0.0,0.04665902200885331,0.03601837986329118
137,Spring Green Buffalo,0.12136427616431021,0.11308884189981937,-0.0803690913868264,0.036456487218883504,-0.005018794572530516,0.08980045613903953,-0.013035029156920674,0.11041178577199806,-0.05243113491360506,0.05855326166475838,-0.0292532944289086,0.1123757981868068,-0.12327305276036338,0.06948306373357688,-0.048129848306888684,0.16078695064081916,-0.07977301801611439,0.18426146874036817,-0.19265513032889747,0.1375566581928655,-0.09486041472746978,0.10940175308848543,-0.11309282749798308,0.37114806377650833,-0.19880463649243868,0.11700891217599786,-0.17973645314104508,0.6259316574573267,-0.6471604979459441,0.36942671121863496,-0.38249201964770224,0.11948047510031048,-0.09236720406023487,0.04708983338803441,-0.06539696125107373,0.32034714579277673,-0.4277949236709846,0.37664503478578265,-0.3701988651106579,1.0579699081653862,0.8443974266173832,-0.0001318841718745034,-0.04669775263842744,0.046102243634721506,0.036467589275017975,0.07845042994837771,-0.05400551201537056,3.5223388881712845,-1.7870278361221708,0.11934956415576159,-0.012845986068933724,1.0000000000000004,0.9575575910727854,0.8543316260079847,0.0,0.05995045218301677,0.043750592598199814
138,Orange-Red Squirrel,0.11600074288103283,0.09627034162324313,-0.020137013874154733,0.0002284648980135362,-0.013641245965870352,0.10114853326227302,-0.004659916596956193,0.053684250124260105,-0.032410220558031125,0.014968812521451718,-0.02540613133507117,0.04838604982669185,-0.04534928475244507,0.027494229489685364,-0.030796504088630522,0.15521726129903315,-0.09572070449599039,0.0424662111848256,-0.07166890534863572,0.07617581630319875,-0.18670093270465174,0.09162420508566121,-0.006933696303737695,0.21610519108210158,-0.43509548748146987,0.06853236375042551,-0.03578155074890467,0.24815173577633018,-0.28887853390443136,0.3525421294621647,-0.1849569378675207,0.10216945745017186,-0.013415194014049826,0.011276549183924183,-0.022194334969356303,0.3834314779430825,-0.16791742108463573,0.34502784020852273,-0.3943890342908768,1.026371370625417,0.22156290387058186,0.0,-0.05231484321318061,0.02326428486508231,0.0046700145418533175,0.011640235137824471,-0.010552080209725624,3.9095691416016054,-2.8032407486687827,0.09573558276241756,-0.007386976285562619,1.000000000000005,0.9958404161688289,0.3191343587283853,0.04061821755596293,0.047537291410689395,0.026997366372907027
139,Peach Caribou,0.11382494218822822,0.10044882547968516,-0.17072153882508376,0.024216154888021313,-0.007884047245278691,0.10076573600017324,-0.005470836255308864,0.09076490760721243,-0.05246143230613771,0.04304166392898262,-0.03248057044915727,0.08257205657499962,-0.0861705500821556,0.05058896946780222,-0.047537115656737766,0.10286729864995942,-0.057090258293267956,0.18324277538375014,-0.17874255392587127,0.14231369528979584,-0.10527546615440454,0.15219679485184104,-0.11192199062072145,0.15180021176295147,-0.12023944245126585,0.09479347096558015,-0.16279618186630596,0.4085881883294393,-0.49438752449790674,0.3800747481371457,-0.35997090567115897,0.0983685368074922,-0.10644816861272956,0.06179916665820119,-0.04507311405241371,0.38705646308176067,-0.3077381650209217,0.37280934022883727,-0.3950477017055524,1.0507990201829596,0.0,0.0,-0.03581023565110081,0.02497205922793821,0.0,0.029389790357795577,-0.02053110687515647,3.558793759534094,-0.7464214814365033,0.10449587853811959,-0.004899006764593761,1.0000000000000007,0.9747236724338538,0.9565503004873374,0.0,0.050365879682930326,0.03588745572542263
140,Tan Robin,0.11028695939507108,0.20749648232102777,-0.0942193116787522,0.04057117719899339,-0.007874839462058025,0.13857008459078446,-0.020045164096259116,0.1828544275383717,-0.18502133770554405,0.017750685477199175,-0.04427839300199134,0.18742034381601846,-0.15457288269356184,0.04200320329234458,-0.06080009256936176,0.19459204082776765,-0.18781234195779362,0.1262884925793921,-0.10763895579998303,0.1863872786609159,-0.1863276999519096,0.17169682022595095,-0.11049278287811963,0.4806954051212343,-0.466934126243598,0.06568002064061901,-0.10416700905840764,0.4697704112687729,-0.6137584718015167,0.2684851665074078,-0.3149694344545172,0.1455126175114686,-0.18433789066865272,0.02925008228339608,-0.07474270045514864,0.4272653306993116,-0.40924505387516297,0.403942569857948,-0.31375507581240136,1.0433060254735258,0.0,0.0,-0.047833670169806296,0.023016770229782973,0.0,0.020865471107869953,-0.021392400522455158,3.082914882986452,-0.4270194019101229,0.16118584097066635,-0.007836889424677973,1.0000000000000007,0.9671766360568149,0.9845633609433547,0.0,0.08148817360587998,0.05845497826594095
141,Gray Canary,0.10830579473625562,0.04836596875850456,-0.08559341389399437,0.06605459554810067,-0.009164183819899363,0.41406030069683797,-0.005988338350579991,0.10303918384968488,-0.1000022972760532,0.05677659025755149,-0.06117655616456985,0.0883340114508217,-0.1034900697253286,0.08610777143351082,-0.09065141445336534,0.15721618023237843,-0.15501294363236648,0.07926912130016348,-0.08327156571278374,0.1548517889488628,-0.17468518379120596,0.10066536205078261,-0.11583533046925978,0.5271201676502805,-0.39243303649742434,0.11434379706627142,-0.12675102841571362,0.5710523049261915,-0.3897658390630053,0.512019005024958,-0.5513660208687844,0.09617038057928556,-0.0993951957589184,0.07331743052958148,-0.06875177692672269,0.40324588305658016,-0.4018317524864989,0.5739337278904387,-0.7026466437610699,1.0330040763663089,0.8813590546760863,-0.0017313123442296784,-0.02463137399154955,0.022373811830306917,0.011202177537078528,0.07908699745769088,-0.058638924704150656,7.016261515738936,1.2949234470573514,0.49853425015429154,-0.007919707109459995,1.0000000000000007,0.9790606264341136,1.8550822235757207,0.2292102871896388,0.05290462350358548,0.036085214194304056
