Suburb,Land_Use,Land_Use_Description,Count
ABERFOYLE PARK                                    ,1100,Single Unit - House                               ,3978
ABERFOYLE PARK                                    ,1101,House and Granny Flat                             ,10
ABERFOYLE PARK                                    ,1110,Home Industry (Owner Resides)                     ,1
ABERFOYLE PARK                                    ,1112,House & Surgery                                   ,1
ABERFOYLE PARK                                    ,1118,House-unestablished grnds/gdns                    ,3
ABERFOYLE PARK                                    ,1119,Unfinished House                                  ,2
ABERFOYLE PARK                                    ,1220,Maisonette                                        ,17
ABERFOYLE PARK                                    ,1310,Ground Floor Unit                                 ,109
ABERFOYLE PARK                                    ,1315,Detached Single Storey Unit                       ,38
ABERFOYLE PARK                                    ,1330,Townhouse (Ground & 1st Floor)                    ,2
ABERFOYLE PARK                                    ,1413,Sngle stry flts-bld strta titl                    ,2
ABERFOYLE PARK                                    ,1760,Retired & Aged Accommodation                      ,2
ABERFOYLE PARK                                    ,1765,Independent Living Unit                           ,166
ABERFOYLE PARK                                    ,1810,Hotel                                             ,1
ABERFOYLE PARK                                    ,2110,Retail Trade- Dprtmnt & Genrl                     ,1
ABERFOYLE PARK                                    ,2121,Retail Trade - Clothing                           ,2
ABERFOYLE PARK                                    ,2133,Retail Domestic Hardware                          ,1
ABERFOYLE PARK                                    ,2138,Retail - Other Household Goods                    ,1
ABERFOYLE PARK                                    ,2139,Retail Other Electrical                           ,1
ABERFOYLE PARK                                    ,2140,Retail Trade - Food and Drink                     ,1
ABERFOYLE PARK                                    ,2141,Delicatessen                                      ,3
ABERFOYLE PARK                                    ,2144,Butcher                                           ,1
ABERFOYLE PARK                                    ,2145,Fruit and Veg.                                    ,2
ABERFOYLE PARK                                    ,2146,"Bread,Cakes & Pastry                              ",2
ABERFOYLE PARK                                    ,2147,Health Food & Drinks                              ,1
ABERFOYLE PARK                                    ,2149,Wine Shop                                         ,1
ABERFOYLE PARK                                    ,2151,Chicken Shop                                      ,2
ABERFOYLE PARK                                    ,2157,Toy Shop                                          ,1
ABERFOYLE PARK                                    ,2158,Craft & Pottery                                   ,1
ABERFOYLE PARK                                    ,2160,Specialty Shops                                   ,1
ABERFOYLE PARK                                    ,2161,Chemist                                           ,3
ABERFOYLE PARK                                    ,2162,"Newsagent,Book Shop etc                           ",1
ABERFOYLE PARK                                    ,2163,Music Shop                                        ,3
ABERFOYLE PARK                                    ,2166,Florist & Plant Shop                              ,2
ABERFOYLE PARK                                    ,2167,Gift Shop & Tobacconist                           ,1
ABERFOYLE PARK                                    ,2168,Second-hand & Antiques                            ,2
ABERFOYLE PARK                                    ,2169,Pet Shop                                          ,1
ABERFOYLE PARK                                    ,2170,Supermarkets                                      ,3
ABERFOYLE PARK                                    ,2181,Service Station                                   ,1
ABERFOYLE PARK                                    ,2184,Spare Parts and Accessories                       ,2
ABERFOYLE PARK                                    ,2185,Tyres and Tubes                                   ,2
ABERFOYLE PARK                                    ,2199,Vacant Shop                                       ,7
ABERFOYLE PARK                                    ,2210,Bank                                              ,7
ABERFOYLE PARK                                    ,2280,Real Estate Agencies                              ,7
ABERFOYLE PARK                                    ,2290,"Auctioneers, Valuers etc                          ",1
ABERFOYLE PARK                                    ,2310,Food and Drink Services                           ,3
ABERFOYLE PARK                                    ,2311,Restaurant - Unlicensed                           ,2
ABERFOYLE PARK                                    ,2312,Restaurant - Licensed                             ,1
ABERFOYLE PARK                                    ,2313,Cafe                                              ,3
ABERFOYLE PARK                                    ,2314,Pizza Bar - Unlicensed                            ,4
ABERFOYLE PARK                                    ,2315,Pizza Bar - Licensed                              ,1
ABERFOYLE PARK                                    ,2316,Hamburger Shop                                    ,1
ABERFOYLE PARK                                    ,2320,Beauty Salons/Ladies Hairdress                    ,10
ABERFOYLE PARK                                    ,2330,Mens Hairdressing & Tobacconis                    ,1
ABERFOYLE PARK                                    ,2340,"Laundering, Dry Cleaning Etc                      ",2
ABERFOYLE PARK                                    ,2360,Shoe Repairs                                      ,1
ABERFOYLE PARK                                    ,2380,Photographic Services                             ,1
ABERFOYLE PARK                                    ,2430,Travel and Tourist Bureau                         ,1
ABERFOYLE PARK                                    ,2500,Office (Buildings)                                ,1
ABERFOYLE PARK                                    ,2510,Advertising Services                              ,2
ABERFOYLE PARK                                    ,2730,Accounting Services                               ,2
ABERFOYLE PARK                                    ,2770,Physicians and Surgeons                           ,2
ABERFOYLE PARK                                    ,2775,Veterinary Surgeon                                ,1
ABERFOYLE PARK                                    ,2780,Dentists                                          ,2
ABERFOYLE PARK                                    ,2785,Physiotherapist                                   ,1
ABERFOYLE PARK                                    ,2790,Other Professional Services                       ,9
ABERFOYLE PARK                                    ,2910,Motor Vehicle Repair Services                     ,2
ABERFOYLE PARK                                    ,2940,Radio and T.V. Repairs                            ,1
ABERFOYLE PARK                                    ,4100,Vacant Land-Urban                                 ,58
ABERFOYLE PARK                                    ,4101,Vacant Land Minor Improv Urban                    ,6
ABERFOYLE PARK                                    ,4500,Reserve                                           ,5
ABERFOYLE PARK                                    ,4510,Undeveloped Reserve                               ,87
ABERFOYLE PARK                                    ,4520,Developed Reserve                                 ,1
ABERFOYLE PARK                                    ,4530,"Road Reserves,Median Strips et                    ",43
ABERFOYLE PARK                                    ,4540,Walkway                                           ,22
ABERFOYLE PARK                                    ,4600,Agistment                                         ,1
ABERFOYLE PARK                                    ,5190,Other Governmental Services                       ,4
ABERFOYLE PARK                                    ,5210,Kindergarten & Child Minding                      ,3
ABERFOYLE PARK                                    ,5211,Private Kindy & Child Minding                     ,1
ABERFOYLE PARK                                    ,5220,Primary School                                    ,4
ABERFOYLE PARK                                    ,5221,Private Primary School                            ,4
ABERFOYLE PARK                                    ,5230,Secondary School                                  ,1
ABERFOYLE PARK                                    ,5310,Social Service & Welfare                          ,2
ABERFOYLE PARK                                    ,5390,Other Social Welfare                              ,1
ABERFOYLE PARK                                    ,5600,Places of Assembly                                ,1
ABERFOYLE PARK                                    ,5610,Churches/Seminary                                 ,8
ABERFOYLE PARK                                    ,5662,Boy Scouts                                        ,1
ABERFOYLE PARK                                    ,5690,Other Places of Assembly                          ,1
ABERFOYLE PARK                                    ,5730,Social/Entertainment Club                         ,2
ABERFOYLE PARK                                    ,5790,Other Amusement & Entertainmen                    ,2
ABERFOYLE PARK                                    ,6250,Water Pressure Control                            ,1
ABERFOYLE PARK                                    ,6530,Car Parking - Motor Vehicle Tr                    ,1
ABERFOYLE PARK                                    ,7140,Football                                          ,1
ABERFOYLE PARK                                    ,7230,Lawn Bowls                                        ,1
ABERFOYLE PARK                                    ,7250,Tennis                                            ,1
ABERFOYLE PARK                                    ,7400,Racing Tracks                                     ,1
ABERFOYLE PARK                                    ,7670,Recreation - Squash                               ,1
ABERFOYLE PARK                                    ,9930,Primary Production - Nursery (                    ,1
ALDINGA                                           ,1100,Single Unit - House                               ,126
ALDINGA                                           ,1112,House & Surgery                                   ,1
ALDINGA                                           ,1117,House with Single Bed & Breakfast                 ,1
ALDINGA                                           ,1118,House-unestablished grnds/gdns                    ,4
ALDINGA                                           ,1119,Unfinished House                                  ,5
ALDINGA                                           ,1310,Ground Floor Unit                                 ,35
ALDINGA                                           ,1315,Detached Single Storey Unit                       ,3
ALDINGA                                           ,1810,Hotel                                             ,1
ALDINGA                                           ,1912,Rural Residential House                           ,27
ALDINGA                                           ,1991,Rural Living - Agriculture                        ,8
ALDINGA                                           ,1992,Rural Living - Livestock                          ,18
ALDINGA                                           ,1993,Rural Living - Horticulture                       ,4
ALDINGA                                           ,1999,Rural Living - Plant Nursery                      ,1
ALDINGA                                           ,2145,Fruit and Veg.                                    ,1
ALDINGA                                           ,2146,"Bread,Cakes & Pastry                              ",1
ALDINGA                                           ,2147,Health Food & Drinks                              ,1
ALDINGA                                           ,2163,Music Shop                                        ,1
ALDINGA                                           ,2181,Service Station                                   ,1
ALDINGA                                           ,2190,Shops and Dwelling                                ,1
ALDINGA                                           ,2280,Real Estate Agencies                              ,1
ALDINGA                                           ,2312,Restaurant - Licensed                             ,1
ALDINGA                                           ,2313,Cafe                                              ,1
ALDINGA                                           ,2320,Beauty Salons/Ladies Hairdress                    ,1
ALDINGA                                           ,2770,Physicians and Surgeons                           ,1
ALDINGA                                           ,2785,Physiotherapist                                   ,2
ALDINGA                                           ,2786,Chiropractor                                      ,1
ALDINGA                                           ,2790,Other Professional Services                       ,2
ALDINGA                                           ,3320,Furniture and Fixtures                            ,1
ALDINGA                                           ,4100,Vacant Land-Urban                                 ,47
ALDINGA                                           ,4101,Vacant Land Minor Improv Urban                    ,4
ALDINGA                                           ,4150,Vacant Land - Rural Resident.                     ,1
ALDINGA                                           ,4151,Vacant Land Minor Improv Rural                    ,1
ALDINGA                                           ,4500,Reserve                                           ,1
ALDINGA                                           ,4510,Undeveloped Reserve                               ,2
ALDINGA                                           ,5210,Kindergarten & Child Minding                      ,1
ALDINGA                                           ,5221,Private Primary School                            ,1
ALDINGA                                           ,5330,Charitable Organisation                           ,1
ALDINGA                                           ,5511,Institute                                         ,1
ALDINGA                                           ,5610,Churches/Seminary                                 ,5
ALDINGA                                           ,5850,Ambulance Centre                                  ,1
ALDINGA                                           ,5941,Fire Station or Depot                             ,1
ALDINGA                                           ,6240,Irrigation Distribution                           ,1
ALDINGA                                           ,6250,Water Pressure Control                            ,1
ALDINGA                                           ,6260,Sewage Treatment                                  ,2
ALDINGA                                           ,6290,Other Water/Irrigation/Sewage                     ,1
ALDINGA                                           ,6610,Airport                                           ,1
ALDINGA                                           ,7140,Football                                          ,2
ALDINGA                                           ,7230,Lawn Bowls                                        ,1
ALDINGA                                           ,7260,Other Outdoor Arenas                              ,1
ALDINGA                                           ,7510,Camping/Caravaning Area                           ,1
ALDINGA                                           ,9100,Primary Production - Agricultu                    ,17
ALDINGA                                           ,9130,Primary Production - Fodder Cr                    ,3
ALDINGA                                           ,9150,Primary Production - Cereals &                    ,6
ALDINGA                                           ,9200,Primary Production - Livestock                    ,5
ALDINGA                                           ,9210,Primary Production - Sheep - W                    ,1
ALDINGA                                           ,9250,Primary Production - Sheep and                    ,1
ALDINGA                                           ,9300,Primary Production - Vines                        ,1
ALDINGA                                           ,9301,Vines - Irrigated                                 ,25
ALDINGA                                           ,9350,Olives                                            ,3
ALDINGA                                           ,9390,Primary Production - Horticult                    ,1
ALDINGA BEACH                                     ,1100,Single Unit - House                               ,4105
ALDINGA BEACH                                     ,1101,House and Granny Flat                             ,12
ALDINGA BEACH                                     ,1110,Home Industry (Owner Resides)                     ,4
ALDINGA BEACH                                     ,1115,House & Flat                                      ,2
ALDINGA BEACH                                     ,1117,House with Single Bed & Breakfast                 ,5
ALDINGA BEACH                                     ,1118,House-unestablished grnds/gdns                    ,79
ALDINGA BEACH                                     ,1119,Unfinished House                                  ,29
ALDINGA BEACH                                     ,1200,Multiple Unit                                     ,10
ALDINGA BEACH                                     ,1220,Maisonette                                        ,54
ALDINGA BEACH                                     ,1300,Home Unit                                         ,4
ALDINGA BEACH                                     ,1310,Ground Floor Unit                                 ,115
ALDINGA BEACH                                     ,1315,Detached Single Storey Unit                       ,33
ALDINGA BEACH                                     ,1320,Ground Floor Unit Multi Storey                    ,7
ALDINGA BEACH                                     ,1321,First Floor Unit                                  ,5
ALDINGA BEACH                                     ,1330,Townhouse (Ground & 1st Floor)                    ,61
ALDINGA BEACH                                     ,1400,Flat                                              ,1
ALDINGA BEACH                                     ,1410,Single Storey Flat                                ,52
ALDINGA BEACH                                     ,1411,sngl stry flts-hse cov to flts                    ,2
ALDINGA BEACH                                     ,1412,Flats N.E.C.                                      ,4
ALDINGA BEACH                                     ,1413,Sngle stry flts-bld strta titl                    ,2
ALDINGA BEACH                                     ,1420,Two storey & higher Flat                          ,12
ALDINGA BEACH                                     ,1421,2 storey hse convertd to flats                    ,2
ALDINGA BEACH                                     ,1432,Townhouse Flat pair two storey                    ,2
ALDINGA BEACH                                     ,1433,Townhouse Flat strata titling                     ,3
ALDINGA BEACH                                     ,1765,Independent Living Unit                           ,104
ALDINGA BEACH                                     ,1780,Other Institutional Resident.                     ,1
ALDINGA BEACH                                     ,1833,Short Term Accom - Single Unit                    ,7
ALDINGA BEACH                                     ,1912,Rural Residential House                           ,19
ALDINGA BEACH                                     ,1991,Rural Living - Agriculture                        ,1
ALDINGA BEACH                                     ,1992,Rural Living - Livestock                          ,18
ALDINGA BEACH                                     ,1993,Rural Living - Horticulture                       ,7
ALDINGA BEACH                                     ,1996,Mixed Farming                                     ,1
ALDINGA BEACH                                     ,1999,Rural Living - Plant Nursery                      ,1
ALDINGA BEACH                                     ,2100,Retail Trade - General                            ,9
ALDINGA BEACH                                     ,2121,Retail Trade - Clothing                           ,1
ALDINGA BEACH                                     ,2125,Retail Trade - Footwear                           ,1
ALDINGA BEACH                                     ,2131,Retail Trade - Building Materi                    ,3
ALDINGA BEACH                                     ,2134,Retail Gardening Equipment                        ,1
ALDINGA BEACH                                     ,2139,Retail Other Electrical                           ,1
ALDINGA BEACH                                     ,2140,Retail Trade - Food and Drink                     ,1
ALDINGA BEACH                                     ,2141,Delicatessen                                      ,2
ALDINGA BEACH                                     ,2142,Grocer                                            ,1
ALDINGA BEACH                                     ,2143,Licensed Grocer                                   ,1
ALDINGA BEACH                                     ,2144,Butcher                                           ,2
ALDINGA BEACH                                     ,2145,Fruit and Veg.                                    ,1
ALDINGA BEACH                                     ,2146,"Bread,Cakes & Pastry                              ",1
ALDINGA BEACH                                     ,2149,Wine Shop                                         ,1
ALDINGA BEACH                                     ,2151,Chicken Shop                                      ,2
ALDINGA BEACH                                     ,2160,Specialty Shops                                   ,4
ALDINGA BEACH                                     ,2161,Chemist                                           ,3
ALDINGA BEACH                                     ,2162,"Newsagent,Book Shop etc                           ",1
ALDINGA BEACH                                     ,2163,Music Shop                                        ,1
ALDINGA BEACH                                     ,2167,Gift Shop & Tobacconist                           ,2
ALDINGA BEACH                                     ,2168,Second-hand & Antiques                            ,1
ALDINGA BEACH                                     ,2169,Pet Shop                                          ,1
ALDINGA BEACH                                     ,2170,Supermarkets                                      ,2
ALDINGA BEACH                                     ,2181,Service Station                                   ,1
ALDINGA BEACH                                     ,2185,Tyres and Tubes                                   ,1
ALDINGA BEACH                                     ,2199,Vacant Shop                                       ,10
ALDINGA BEACH                                     ,2210,Bank                                              ,7
ALDINGA BEACH                                     ,2280,Real Estate Agencies                              ,4
ALDINGA BEACH                                     ,2310,Food and Drink Services                           ,3
ALDINGA BEACH                                     ,2313,Cafe                                              ,1
ALDINGA BEACH                                     ,2314,Pizza Bar - Unlicensed                            ,1
ALDINGA BEACH                                     ,2316,Hamburger Shop                                    ,1
ALDINGA BEACH                                     ,2320,Beauty Salons/Ladies Hairdress                    ,5
ALDINGA BEACH                                     ,2340,"Laundering, Dry Cleaning Etc                      ",1
ALDINGA BEACH                                     ,2430,Travel and Tourist Bureau                         ,1
ALDINGA BEACH                                     ,2460,Gymnasiums Saunas etc                             ,2
ALDINGA BEACH                                     ,2500,Office (Buildings)                                ,2
ALDINGA BEACH                                     ,2540,Employment Agencies                               ,1
ALDINGA BEACH                                     ,2600,Office/Warehouse                                  ,8
ALDINGA BEACH                                     ,2640,Refrigerated Storage                              ,2
ALDINGA BEACH                                     ,2690,Other Business Services                           ,1
ALDINGA BEACH                                     ,2730,Accounting Services                               ,1
ALDINGA BEACH                                     ,2770,Physicians and Surgeons                           ,2
ALDINGA BEACH                                     ,2775,Veterinary Surgeon                                ,1
ALDINGA BEACH                                     ,2780,Dentists                                          ,2
ALDINGA BEACH                                     ,2786,Chiropractor                                      ,1
ALDINGA BEACH                                     ,2790,Other Professional Services                       ,1
ALDINGA BEACH                                     ,2810,Builders - General                                ,1
ALDINGA BEACH                                     ,2840,"Painting,Paper-hanging Service                    ",1
ALDINGA BEACH                                     ,2900,Repair Services - Workshop                        ,7
ALDINGA BEACH                                     ,2910,Motor Vehicle Repair Services                     ,4
ALDINGA BEACH                                     ,2920,Car Wash Services                                 ,1
ALDINGA BEACH                                     ,2960,Lawnmower Repairs                                 ,2
ALDINGA BEACH                                     ,3214,Carpets and Rugs                                  ,1
ALDINGA BEACH                                     ,3300,Wood and Wood Products                            ,1
ALDINGA BEACH                                     ,3311,Sawmills & Other Woodmills                        ,1
ALDINGA BEACH                                     ,3319,Wood and Cork Products                            ,1
ALDINGA BEACH                                     ,3620,Glass and Glass Products                          ,3
ALDINGA BEACH                                     ,3710,Iron and Steel Basic Industry                     ,1
ALDINGA BEACH                                     ,3800,Fabricated Metal Products                         ,1
ALDINGA BEACH                                     ,4100,Vacant Land-Urban                                 ,248
ALDINGA BEACH                                     ,4101,Vacant Land Minor Improv Urban                    ,20
ALDINGA BEACH                                     ,4110,Vacant Lot Recreation/Conserva                    ,2
ALDINGA BEACH                                     ,4150,Vacant Land - Rural Resident.                     ,1
ALDINGA BEACH                                     ,4151,Vacant Land Minor Improv Rural                    ,2
ALDINGA BEACH                                     ,4210,Wooded Area Conservation (Vaca                    ,2
ALDINGA BEACH                                     ,4330,Swamp or Land Subj to Flooding                    ,1
ALDINGA BEACH                                     ,4500,Reserve                                           ,16
ALDINGA BEACH                                     ,4510,Undeveloped Reserve                               ,22
ALDINGA BEACH                                     ,4520,Developed Reserve                                 ,2
ALDINGA BEACH                                     ,4530,"Road Reserves,Median Strips et                    ",20
ALDINGA BEACH                                     ,5130,Local Government                                  ,2
ALDINGA BEACH                                     ,5210,Kindergarten & Child Minding                      ,2
ALDINGA BEACH                                     ,5211,Private Kindy & Child Minding                     ,1
ALDINGA BEACH                                     ,5220,Primary School                                    ,1
ALDINGA BEACH                                     ,5221,Private Primary School                            ,1
ALDINGA BEACH                                     ,5330,Charitable Organisation                           ,1
ALDINGA BEACH                                     ,5510,Library and Reading                               ,1
ALDINGA BEACH                                     ,5662,Boy Scouts                                        ,1
ALDINGA BEACH                                     ,5670,Youth Centre                                      ,1
ALDINGA BEACH                                     ,5890,Other Medical & Health Service                    ,1
ALDINGA BEACH                                     ,5910,Police Station                                    ,1
ALDINGA BEACH                                     ,5940,Fire Service                                      ,1
ALDINGA BEACH                                     ,6170,Electricity Sub-Station                           ,1
ALDINGA BEACH                                     ,6280,Sewage Pressure Control                           ,2
ALDINGA BEACH                                     ,6530,Car Parking - Motor Vehicle Tr                    ,1
ALDINGA BEACH                                     ,6700,Telecommunications                                ,1
ALDINGA BEACH                                     ,6710,Telephone Exchange Operation                      ,1
ALDINGA BEACH                                     ,6790,Other Telecommunications                          ,2
ALDINGA BEACH                                     ,6810,Post Office                                       ,1
ALDINGA BEACH                                     ,6980,Public Conveniences                               ,1
ALDINGA BEACH                                     ,7510,Camping/Caravaning Area                           ,1
ALDINGA BEACH                                     ,7530,Parks and Gardens Including Pi                    ,3
ALDINGA BEACH                                     ,7771,SLSA clubrooms                                    ,1
ALDINGA BEACH                                     ,9110,Primary Production - Cereals                      ,1
ALDINGA BEACH                                     ,9150,Primary Production - Cereals &                    ,9
ALDINGA BEACH                                     ,9200,Primary Production - Livestock                    ,5
ALDINGA BEACH                                     ,9214,sheep - wool - stock watering                     ,1
ALDINGA BEACH                                     ,9220,Primary Production - Sheep - M                    ,1
ALDINGA BEACH                                     ,9301,Vines - Irrigated                                 ,4
ALDINGA BEACH                                     ,9340,Primary Production - Almonds                      ,3
ALDINGA BEACH                                     ,9350,Olives                                            ,5
ALDINGA BEACH                                     ,9750,Primary Production - Potatoes                     ,1
BLEWITT SPRINGS                                   ,1912,Rural Residential House                           ,42
BLEWITT SPRINGS                                   ,1991,Rural Living - Agriculture                        ,3
BLEWITT SPRINGS                                   ,1992,Rural Living - Livestock                          ,17
BLEWITT SPRINGS                                   ,1993,Rural Living - Horticulture                       ,22
BLEWITT SPRINGS                                   ,1994,Rural Living - Forestry                           ,1
BLEWITT SPRINGS                                   ,1997,Rural Living - Market Garden                      ,2
BLEWITT SPRINGS                                   ,1999,Rural Living - Plant Nursery                      ,1
BLEWITT SPRINGS                                   ,3139,Winery (Wines)                                    ,1
BLEWITT SPRINGS                                   ,4150,Vacant Land - Rural Resident.                     ,1
BLEWITT SPRINGS                                   ,4151,Vacant Land Minor Improv Rural                    ,1
BLEWITT SPRINGS                                   ,4200,Wooded Area (Vacant)                              ,1
BLEWITT SPRINGS                                   ,4520,Developed Reserve                                 ,1
BLEWITT SPRINGS                                   ,5620,Public Hall                                       ,1
BLEWITT SPRINGS                                   ,5661,Girl Guides                                       ,1
BLEWITT SPRINGS                                   ,5941,Fire Station or Depot                             ,1
BLEWITT SPRINGS                                   ,7250,Tennis                                            ,1
BLEWITT SPRINGS                                   ,7530,Parks and Gardens Including Pi                    ,1
BLEWITT SPRINGS                                   ,9100,Primary Production - Agricultu                    ,1
BLEWITT SPRINGS                                   ,9200,Primary Production - Livestock                    ,5
BLEWITT SPRINGS                                   ,9210,Primary Production - Sheep - W                    ,2
BLEWITT SPRINGS                                   ,9220,Primary Production - Sheep - M                    ,2
BLEWITT SPRINGS                                   ,9240,Primary Production - Cattle -                     ,2
BLEWITT SPRINGS                                   ,9250,Primary Production - Sheep and                    ,1
BLEWITT SPRINGS                                   ,9260,Primary Production - Pigs                         ,1
BLEWITT SPRINGS                                   ,9300,Primary Production - Vines                        ,11
BLEWITT SPRINGS                                   ,9301,Vines - Irrigated                                 ,48
BLEWITT SPRINGS                                   ,9304,Stock Watering                                    ,1
BLEWITT SPRINGS                                   ,9360,Primary Production - Vine and                     ,1
BLEWITT SPRINGS                                   ,9361,Vines & others - irrigated                        ,1
BLEWITT SPRINGS                                   ,9510,Primary Production - Poultry -                    ,4
BLEWITT SPRINGS                                   ,9720,Primary Production - Flowers                      ,4
CHANDLERS HILL                                    ,1100,Single Unit - House                               ,125
CHANDLERS HILL                                    ,1101,House and Granny Flat                             ,1
CHANDLERS HILL                                    ,1118,House-unestablished grnds/gdns                    ,3
CHANDLERS HILL                                    ,1119,Unfinished House                                  ,1
CHANDLERS HILL                                    ,1912,Rural Residential House                           ,68
CHANDLERS HILL                                    ,1992,Rural Living - Livestock                          ,52
CHANDLERS HILL                                    ,1993,Rural Living - Horticulture                       ,5
CHANDLERS HILL                                    ,2669,"Saddlery,Riding Outfitters                        ",1
CHANDLERS HILL                                    ,3139,Winery (Wines)                                    ,1
CHANDLERS HILL                                    ,4100,Vacant Land-Urban                                 ,7
CHANDLERS HILL                                    ,4150,Vacant Land - Rural Resident.                     ,2
CHANDLERS HILL                                    ,4151,Vacant Land Minor Improv Rural                    ,1
CHANDLERS HILL                                    ,4520,Developed Reserve                                 ,1
CHANDLERS HILL                                    ,4530,"Road Reserves,Median Strips et                    ",2
CHANDLERS HILL                                    ,4924,Cattle - Not Viable                               ,1
CHANDLERS HILL                                    ,6230,Water Storage                                     ,5
CHANDLERS HILL                                    ,6250,Water Pressure Control                            ,1
CHANDLERS HILL                                    ,6290,Other Water/Irrigation/Sewage                     ,1
CHANDLERS HILL                                    ,9200,Primary Production - Livestock                    ,3
CHANDLERS HILL                                    ,9210,Primary Production - Sheep - W                    ,2
CHANDLERS HILL                                    ,9230,Primary Production - Cattle -                     ,1
CHANDLERS HILL                                    ,9240,Primary Production - Cattle -                     ,1
CHANDLERS HILL                                    ,9301,Vines - Irrigated                                 ,1
CHANDLERS HILL                                    ,9320,Primary Prod. - Stone Fruit                       ,1
CHANDLERS HILL                                    ,9390,Primary Production - Horticult                    ,1
CHANDLERS HILL                                    ,9492,forestry n.e.c. - private                         ,1
CHERRY GARDENS                                    ,1912,Rural Residential House                           ,139
CHERRY GARDENS                                    ,1991,Rural Living - Agriculture                        ,1
CHERRY GARDENS                                    ,1992,Rural Living - Livestock                          ,53
CHERRY GARDENS                                    ,1993,Rural Living - Horticulture                       ,3
CHERRY GARDENS                                    ,1997,Rural Living - Market Garden                      ,1
CHERRY GARDENS                                    ,4150,Vacant Land - Rural Resident.                     ,1
CHERRY GARDENS                                    ,4200,Wooded Area (Vacant)                              ,2
CHERRY GARDENS                                    ,4400,Steep or Rocky Land (Vacant)                      ,1
CHERRY GARDENS                                    ,4510,Undeveloped Reserve                               ,1
CHERRY GARDENS                                    ,4530,"Road Reserves,Median Strips et                    ",1
CHERRY GARDENS                                    ,5610,Churches/Seminary                                 ,1
CHERRY GARDENS                                    ,5620,Public Hall                                       ,1
CHERRY GARDENS                                    ,5941,Fire Station or Depot                             ,2
CHERRY GARDENS                                    ,6230,Water Storage                                     ,1
CHERRY GARDENS                                    ,6740,Radio Transmitting                                ,1
CHERRY GARDENS                                    ,6970,Cemeteries                                        ,1
CHERRY GARDENS                                    ,7100,Outdoor Arenas                                    ,1
CHERRY GARDENS                                    ,7300,Golf Course                                       ,1
CHERRY GARDENS                                    ,7530,Parks and Gardens Including Pi                    ,1
CHERRY GARDENS                                    ,9200,Primary Production - Livestock                    ,2
CHERRY GARDENS                                    ,9210,Primary Production - Sheep - W                    ,3
CHERRY GARDENS                                    ,9230,Primary Production - Cattle -                     ,4
CHERRY GARDENS                                    ,9240,Primary Production - Cattle -                     ,3
CHERRY GARDENS                                    ,9250,Primary Production - Sheep and                    ,3
CHERRY GARDENS                                    ,9301,Vines - Irrigated                                 ,1
CHERRY GARDENS                                    ,9330,Primary Production - Pime Frui                    ,1
CHERRY GARDENS                                    ,9390,Primary Production - Horticult                    ,1
CHERRY GARDENS                                    ,9510,Primary Production - Poultry -                    ,1
CHERRY GARDENS                                    ,9920,Primary Prod. - Breeding Anima                    ,3
CHERRY GARDENS                                    ,9930,Primary Production - Nursery (                    ,1
CHRISTIE DOWNS                                    ,1100,Single Unit - House                               ,1698
CHRISTIE DOWNS                                    ,1101,House and Granny Flat                             ,6
CHRISTIE DOWNS                                    ,1110,Home Industry (Owner Resides)                     ,1
CHRISTIE DOWNS                                    ,1111,House & Office                                    ,2
CHRISTIE DOWNS                                    ,1118,House-unestablished grnds/gdns                    ,51
CHRISTIE DOWNS                                    ,1119,Unfinished House                                  ,6
CHRISTIE DOWNS                                    ,1220,Maisonette                                        ,194
CHRISTIE DOWNS                                    ,1321,First Floor Unit                                  ,6
CHRISTIE DOWNS                                    ,1322,Second Floor Unit                                 ,6
CHRISTIE DOWNS                                    ,1323,Third Floor Unit                                  ,6
CHRISTIE DOWNS                                    ,1324,Fourth Floor Unit                                 ,6
CHRISTIE DOWNS                                    ,1330,Townhouse (Ground & 1st Floor)                    ,45
CHRISTIE DOWNS                                    ,1410,Single Storey Flat                                ,408
CHRISTIE DOWNS                                    ,1420,Two storey & higher Flat                          ,5
CHRISTIE DOWNS                                    ,1760,Retired & Aged Accommodation                      ,9
CHRISTIE DOWNS                                    ,1765,Independent Living Unit                           ,57
CHRISTIE DOWNS                                    ,2146,"Bread,Cakes & Pastry                              ",1
CHRISTIE DOWNS                                    ,2148,Fish Shop                                         ,1
CHRISTIE DOWNS                                    ,2161,Chemist                                           ,1
CHRISTIE DOWNS                                    ,2170,Supermarkets                                      ,1
CHRISTIE DOWNS                                    ,2199,Vacant Shop                                       ,3
CHRISTIE DOWNS                                    ,2230,Finance (Money Lending)                           ,1
CHRISTIE DOWNS                                    ,2314,Pizza Bar - Unlicensed                            ,1
CHRISTIE DOWNS                                    ,2340,"Laundering, Dry Cleaning Etc                      ",1
CHRISTIE DOWNS                                    ,2400,Personal Services                                 ,1
CHRISTIE DOWNS                                    ,2500,Office (Buildings)                                ,2
CHRISTIE DOWNS                                    ,2770,Physicians and Surgeons                           ,1
